Evolución nº de ingresados en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Ingresados en Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/03/01;360;85;34;40;42;30;5;2;2;3;7;1;1;10;20;14;1;4;10;49;
2020/03/02;352;82;37;33;39;29;4;3;2;4;7;1;1;10;21;15;1;4;10;49;
2020/03/03;361;84;36;35;37;34;3;2;2;6;7;2;1;10;22;15;1;4;11;49;
2020/03/04;371;91;38;35;39;35;4;4;2;6;6;2;1;9;23;13;1;4;9;49;
2020/03/05;372;91;38;28;44;36;3;3;2;8;6;3;1;8;24;13;1;4;10;49;
2020/03/06;357;85;35;32;44;31;5;3;1;6;3;3;1;8;23;13;1;4;10;49;
2020/03/07;386;97;43;32;45;36;4;3;2;6;5;2;1;8;25;13;1;4;10;49;
2020/03/08;411;109;44;34;48;40;5;4;2;6;6;2;1;8;25;13;1;4;10;49;
2020/03/09;434;126;45;44;44;36;4;3;3;4;8;2;3;10;24;14;1;4;10;49;
2020/03/10;464;146;52;43;44;37;3;3;2;5;9;6;3;9;24;13;1;4;11;49;
2020/03/11;487;165;59;39;44;40;4;3;2;3;8;6;3;9;25;13;1;4;10;49;
2020/03/12;538;198;64;38;48;44;4;3;4;4;8;7;3;9;27;13;1;4;10;49;
2020/03/13;553;205;61;41;58;44;3;2;4;8;9;7;4;9;23;11;1;4;10;49;
2020/03/14;580;220;63;41;60;48;4;2;4;8;10;8;5;8;24;11;1;4;10;49;
2020/03/15;614;229;69;44;61;51;5;3;5;8;12;8;10;7;27;11;1;4;10;49;
2020/03/16;627;225;76;40;65;56;4;3;4;9;12;11;13;7;29;10;1;4;9;49;
2020/03/17;682;240;82;48;65;63;6;4;5;10;15;16;15;7;34;10;1;4;8;49;
2020/03/18;760;253;108;49;70;73;9;6;7;10;14;21;18;7;42;10;1;4;8;50;
2020/03/19;873;292;120;58;95;84;9;6;7;9;15;34;18;6;46;11;1;4;8;50;
2020/03/20;969;312;130;64;108;101;9;8;11;20;15;35;18;6;59;10;1;4;8;50;
2020/03/21;1133;342;158;73;137;121;12;11;13;22;18;52;19;6;74;12;1;4;8;50;
2020/03/22;1231;340;176;83;161;128;15;11;13;24;20;63;20;6;92;16;1;4;8;50;
2020/03/23;1310;333;188;100;171;133;14;10;19;28;26;71;20;6;109;20;1;4;7;50;
2020/03/24;1508;360;222;110;208;163;20;12;21;30;29;88;26;6;124;26;1;4;7;51;
2020/03/25;1625;371;240;124;223;198;18;15;25;24;32;93;26;5;126;42;1;4;7;51;
2020/03/26;1748;367;253;165;249;211;18;17;29;28;27;93;33;8;132;57;1;3;7;50;
2020/03/27;1723;354;263;166;230;201;15;18;34;31;33;86;35;7;123;65;1;3;8;50;
2020/03/28;1865;362;286;182;277;208;18;22;36;31;38;98;37;6;127;71;1;7;8;50;
2020/03/29;1907;359;298;186;270;219;18;22;39;31;36;108;39;6;136;71;1;10;8;50;
2020/03/30;1786;345;269;174;251;191;16;24;42;23;36;93;40;6;138;62;1;16;9;50;
2020/03/31;1762;318;266;160;259;187;20;23;37;21;37;90;47;6;144;64;1;21;11;50;
2020/04/01;1743;291;274;156;274;188;21;22;32;21;31;86;49;6;146;64;1;20;11;50;
2020/04/02;1684;278;261;164;269;175;21;18;27;19;31;78;51;6;141;64;1;19;11;50;
2020/04/03;1588;249;254;151;257;152;21;16;22;23;33;75;51;7;134;60;1;21;11;50;
2020/04/04;1582;239;260;137;250;160;21;17;22;23;27;79;52;7;141;65;1;19;12;50;
2020/04/05;1563;234;266;134;229;154;21;17;22;23;23;79;52;7;153;67;1;19;12;50;
2020/04/06;1425;201;241;131;197;127;19;16;24;19;17;67;54;7;155;71;1;18;11;49;
2020/04/07;1374;184;223;130;202;115;21;14;22;15;22;58;53;7;152;75;1;20;11;49;
2020/04/08;1290;172;204;112;194;108;20;11;16;13;23;50;56;7;151;71;1;21;11;49;
2020/04/09;1267;177;208;108;191;93;16;10;17;12;21;48;55;7;156;66;1;21;10;50;
2020/04/10;1265;172;197;112;190;99;16;9;19;12;22;45;59;7;158;67;1;20;10;50;
2020/04/11;1238;174;191;111;174;103;17;8;17;14;19;44;57;7;156;67;1;18;10;50;
2020/04/12;1237;178;191;117;165;97;19;7;18;13;19;44;59;7;158;66;1;18;10;50;
2020/04/13;1175;172;177;116;150;88;18;7;17;13;19;41;57;6;153;63;1;18;9;50;
2020/04/14;1107;157;151;115;141;76;15;7;19;7;16;37;64;6;157;59;1;19;10;50;
2020/04/15;1034;142;138;106;133;69;14;7;17;3;16;35;64;6;151;55;1;17;10;50;
2020/04/16;995;130;130;100;131;66;13;7;18;1;15;31;64;6;150;57;1;15;10;50;
2020/04/17;909;120;119;85;116;58;14;8;12;2;12;27;59;6;144;54;1;11;10;51;
2020/04/18;901;115;124;83;114;62;14;8;12;2;10;26;55;5;144;54;1;10;10;52;
2020/04/19;906;119;121;85;112;63;15;7;17;2;10;25;54;5;145;54;1;10;10;51;
2020/04/20;849;113;105;83;92;56;13;7;17;2;13;25;55;4;144;49;2;7;11;51;
2020/04/21;789;108;87;77;91;52;14;7;16;0;13;25;54;4;132;43;2;3;11;50;
2020/04/22;755;106;83;73;87;46;12;7;15;;14;23;51;4;123;44;2;3;12;50;
2020/04/23;721;106;77;71;80;42;12;6;12;;14;23;48;6;115;42;2;4;12;49;
2020/04/24;653;97;64;71;62;40;9;6;13;1;14;18;41;6;103;40;2;4;13;49;
2020/04/25;669;98;69;70;63;42;11;7;14;1;12;18;40;6;107;43;2;4;13;49;
2020/04/26;686;100;74;75;61;44;12;7;16;1;12;19;39;6;107;45;2;4;13;49;
2020/04/27;651;99;69;77;56;42;8;7;14;1;11;16;37;5;97;44;2;4;13;49;
2020/04/28;636;108;69;72;51;37;10;6;13;1;11;16;35;5;95;41;1;4;12;49;
2020/04/29;620;107;77;71;42;38;9;7;14;1;12;13;30;6;90;37;1;4;12;49;
2020/04/30;571;88;74;57;51;35;8;6;12;1;13;9;28;8;79;36;1;4;12;49;
2020/05/01;588;92;76;59;56;37;7;6;15;2;13;8;28;8;79;36;1;4;12;49;
2020/05/02;596;95;71;61;61;38;7;6;15;3;11;8;28;8;81;37;1;4;12;49;
2020/05/03;606;102;74;58;60;40;9;6;15;5;10;8;28;8;82;35;1;4;12;49;
2020/05/04;577;100;72;58;55;34;9;5;13;6;9;7;26;10;72;35;1;4;12;49;
2020/05/05;565;94;78;48;58;28;9;6;13;4;11;6;26;11;72;34;1;4;13;49;
2020/05/06;553;95;77;44;60;23;9;4;12;5;7;4;24;12;75;37;1;3;12;49;
2020/05/07;540;100;71;45;61;22;8;4;10;3;5;4;24;12;69;37;1;3;12;49;
2020/05/08;500;86;73;43;50;22;9;4;7;2;3;4;20;12;65;35;1;3;12;49;
2020/05/09;507;83;78;43;52;25;10;4;7;1;2;4;19;12;66;36;1;3;12;49;
2020/05/10;512;84;82;45;52;26;8;4;8;1;2;4;19;12;64;36;1;3;12;49;
2020/05/11;507;86;79;45;46;28;10;4;8;1;2;3;18;12;63;36;1;3;13;49;
2020/05/12;504;84;76;47;51;28;9;5;8;2;3;4;17;13;58;33;1;3;13;49;
2020/05/13;474;73;66;47;52;26;7;4;8;1;3;4;18;11;54;31;1;3;16;49;
2020/05/14;465;73;63;46;49;27;7;4;6;5;4;3;18;10;49;32;1;3;16;49;
2020/05/15;431;71;61;41;44;21;7;4;6;6;4;2;17;8;44;26;1;3;16;49;
2020/05/16;423;71;58;39;42;21;7;4;6;5;4;2;17;8;44;26;1;3;16;49;
2020/05/17;441;79;60;41;43;21;7;4;6;7;4;2;17;8;47;26;1;3;16;49;
