Evolución nº de ingresados en UCI;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Ingresados UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/03/01;11;4;4;;3;;;;;;;;;;;;;;;;
2020/03/02;14;5;2;2;5;;;;;;0;;;;;;;;;;
2020/03/03;15;4;2;2;7;0;;;;;;;;;;;;;;;
2020/03/04;16;5;4;0;7;;;;;;;;;;;;;;;;
2020/03/05;16;8;4;;4;;;;;;;;;;;;;;;;
2020/03/06;16;9;3;;4;;;;;;;;;;;;;;;;
2020/03/07;17;9;4;;4;;;;;;;;;;;;;;;;
2020/03/08;17;9;4;;4;;;;;;;;;;;;;;;;
2020/03/09;16;9;5;;2;;;;;;0;;;;;;;;;;
2020/03/10;21;10;7;;2;2;;;;;;;;;;;;;;;
2020/03/11;25;13;8;1;2;1;;;;;;;;;;;;;;;
2020/03/12;29;13;9;2;4;1;;;;;;;;;;;;;;;
2020/03/13;28;15;5;4;2;2;;;;;;;;;;;;;;;
2020/03/14;33;21;5;3;2;2;;;;;;;;;;;;;;;
2020/03/15;39;23;7;4;2;3;;;;;;;;;;;;;;;
2020/03/16;45;24;9;3;3;5;;;;;1;;;;;;;;;;
2020/03/17;48;26;10;2;3;7;;;;;0;;;;;;;;;;
2020/03/18;57;29;11;2;7;8;;;;;;;;;;;;;;;
2020/03/19;70;30;15;4;11;10;;;;;;;;;;;;;;;
2020/03/20;81;31;21;7;12;10;;;;;;0;;;;;;;;;
2020/03/21;87;32;23;8;11;11;;;;;;2;;;;;;;;;
2020/03/22;103;33;32;11;12;11;;;;;3;1;;;;;;;;;
2020/03/23;118;36;36;14;17;12;;;;;3;0;;;;;;;;;
2020/03/24;139;38;43;20;21;13;0;;;;2;2;;;;;;;;;
2020/03/25;166;40;52;27;25;18;;;;;4;0;;;;;;;;;
2020/03/26;178;38;58;30;28;20;;;;;1;3;;;;;;;;;
2020/03/27;199;41;66;33;34;19;;;;;2;4;;;;;;;;;
2020/03/28;206;42;68;35;34;20;;;;;2;5;;;;;;;;;
2020/03/29;207;40;68;38;38;19;;;;;1;3;;;;;;;;;
2020/03/30;216;36;70;41;39;24;;;;;1;5;;;;;;;;;
2020/03/31;224;34;70;46;40;26;;;;;2;6;;;;;;;;;
2020/04/01;227;37;71;44;41;26;;;;;1;7;;;;;;;;;
2020/04/02;233;40;77;44;38;25;;;;;1;8;;;;;;;;;
2020/04/03;224;40;77;45;33;21;;;1;;1;6;;;;;;;;;
2020/04/04;215;36;73;46;32;20;;;1;;0;7;;;;;;;;;
2020/04/05;219;35;74;46;36;20;;;1;;;7;;;;;;;;;
2020/04/06;214;36;68;45;35;21;;;0;;;9;;;;;;;;;
2020/04/07;205;34;65;45;33;19;;;;;;9;;;;;;;;;
2020/04/08;200;34;63;45;30;18;;;;;;10;;;;;;;;;
2020/04/09;193;35;62;41;28;18;;;;;0;9;;;;;;;;;
2020/04/10;188;33;63;41;23;19;;;;;;9;;;;;;;;;
2020/04/11;184;33;64;40;20;18;;;;;;9;;;;;;;;;
2020/04/12;182;31;63;39;22;18;;;;;;9;;;;;;;;;
