Evolución nº de nuevos ingresos en UCI;;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;;
2020/03/01;0;0;0;;0;;;;;;;;;;;;;;;;;
2020/03/02;7;1;0;2;3;;;;;;1;;;;;;;;;;;
2020/03/03;5;0;0;1;3;1;;;;;;;;;;;;;;;;
2020/03/04;5;1;3;0;1;;;;;;;;;;;;;;;;;
2020/03/05;5;4;1;;0;;;;;;;;;;;;;;;;;
2020/03/06;5;3;0;;2;;;;;;;;;;;;;;;;;
2020/03/07;4;3;1;;0;;;;;;;;;;;;;;;;;
2020/03/08;1;1;0;;0;;;;;;;;;;;;;;;;;
2020/03/09;5;3;1;;0;;;;;;1;;;;;;;;;;;
2020/03/10;7;2;2;;1;2;;;;;;;;;;;;;;;;
2020/03/11;7;3;3;1;0;0;;;;;;;;;;;;;;;;
2020/03/12;7;1;2;1;3;0;;;;;;;;;;;;;;;;
2020/03/13;6;2;0;2;1;1;;;;;;;;;;;;;;;;
2020/03/14;8;8;0;0;0;0;;;;;;;;;;;;;;;;
2020/03/15;9;5;2;1;0;1;;;;;;;;;;;;;;;;
2020/03/16;9;2;3;0;1;2;;;;;1;;;;;;;;;;;
2020/03/17;7;3;2;0;0;2;;;;;0;;;;;;;;;;;
2020/03/18;12;6;1;0;4;1;;;;;;;;;;;;;;;;
2020/03/19;17;2;5;2;6;2;;;;;;;;;;;;;;;;
2020/03/20;15;3;7;3;1;0;;;;;;1;;;;;;;;;;
2020/03/21;13;3;3;2;1;2;;;;;;2;;;;;;;;;;
2020/03/22;21;2;10;4;1;0;;;;;3;1;;;;;;;;;;
2020/03/23;20;5;4;3;6;2;;;;;0;0;;;;;;;;;;
2020/03/24;27;4;7;6;4;2;1;;;;0;3;;;;;;;;;;
2020/03/25;42;5;12;7;5;5;;;;;4;4;;;;;;;;;;
2020/03/26;27;1;9;4;3;4;;;;;1;5;;;;;;;;;;
2020/03/27;30;5;8;3;6;2;;;;;2;4;;;;;;;;;;
2020/03/28;19;2;6;3;3;3;;;;;0;2;;;;;;;;;;
2020/03/29;13;0;2;4;6;1;;;;;0;0;;;;;;;;;;
2020/03/30;17;1;4;3;2;5;;;;;0;2;;;;;;;;;;
2020/03/31;18;3;2;5;3;3;;;;;1;1;;;;;;;;;;
2020/04/01;20;5;3;0;4;4;;;;;1;3;;;;;;;;;;
2020/04/02;17;3;8;1;0;2;;;;;1;2;;;;;;;;;;
2020/04/03;12;2;3;2;1;0;;;1;;1;2;;;;;;;;;;
2020/04/04;5;0;0;1;2;0;;;0;;0;2;;;;;;;;;;
2020/04/05;7;2;1;0;4;0;;;0;;;0;;;;;;;;;;
2020/04/06;13;2;4;1;1;2;;;0;;;3;;;;;;;;;;
2020/04/07;3;1;1;0;1;0;;;;;;0;;;;;;;;;;
2020/04/08;8;1;2;3;1;0;;;;;;1;;;;;;;;;;
2020/04/09;8;3;3;0;1;0;;;;;1;0;;;;;;;;;;
2020/04/10;8;1;5;1;0;1;;;;;;0;;;;;;;;;;
2020/04/11;3;0;2;1;0;0;;;;;;0;;;;;;;;;;
2020/04/12;6;1;1;1;2;0;;;;;;1;;;;;;;;;;
2020/04/13;1;0;0;0;0;0;;;1;;;0;;;;;;;;;;
2020/04/14;6;3;2;1;0;0;;;0;;;0;;;;;;;;;;
2020/04/15;8;2;1;0;4;0;;;0;;1;0;;;;;;;;;;
2020/04/16;5;0;3;0;1;1;;;0;;;0;;;;;;;;;;
2020/04/17;6;2;1;1;1;0;;;1;;;0;;;;;;;;;;
2020/04/18;3;0;1;0;1;1;;;0;;;0;;;;;;;;;;
2020/04/19;5;0;1;0;1;1;;;0;;;2;;;;;;;;;;
2020/04/20;5;1;1;0;1;2;;;;;;0;;;;;;;;;;
2020/04/21;2;0;0;1;0;0;;;;;;1;;;;;;;;;;
2020/04/22;2;0;0;2;0;0;;;;;;0;;;;;;;;;;
2020/04/23;8;1;1;1;2;0;;;1;;1;1;;;;;;;;;;
2020/04/24;10;2;4;2;0;2;;;0;;;0;;;;;;;;;;
2020/04/25;2;1;0;0;0;1;;;;;;0;;;;;;;;;;
2020/04/26;1;1;0;0;0;0;;;;;;0;;;;;;;;;;
2020/04/27;5;0;1;2;1;1;;;;;;0;;;;;;;;;;
2020/04/28;2;0;0;2;0;0;;;;;;0;;;;;;;;;;
2020/04/29;4;1;1;1;0;1;;;;;;0;;;;;;;;;;
2020/04/30;6;2;3;1;0;0;;;;;;0;;;;;;;;;;
2020/05/01;3;2;1;0;0;0;;;;;;;;;;;;;;;;
2020/05/02;1;0;1;0;0;0;;;;;;;;;;;;;;;;
2020/05/03;3;0;1;1;1;0;;;;;;;;;;;;;;;;
2020/05/04;4;1;2;0;1;0;;;;;;;;;;;;;;;;
2020/05/05;3;0;2;0;1;0;;;;;;;;;;;;;;;;
2020/05/06;5;0;3;0;1;1;;;;;;;;;;;;;;;;
2020/05/07;3;0;1;0;1;0;;;;;1;;;;;;;;;;;
2020/05/08;2;0;2;0;0;0;;;;;0;;;;;;;;;;;
2020/05/09;4;3;1;0;0;0;;;;;0;;;;;;;;;;;
2020/05/10;2;0;1;1;0;0;;;;;0;;;;;;;;;;;
2020/05/11;3;0;0;1;2;0;;;;;0;;;;;;;;;;;
2020/05/12;4;0;0;1;1;1;;;;;1;;;;;;;;;;;
2020/05/13;2;1;1;0;0;0;;;;;0;;;;;;;;;;;
2020/05/14;2;2;0;0;0;0;;;;;0;;;;;;;;;;;
2020/05/15;3;0;2;0;0;0;;;;;1;;;;;;;;;;;
2020/05/16;0;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/05/17;0;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/05/18;1;1;0;0;0;0;;;;;;;;;;;;;;;;
2020/05/19;5;0;1;2;1;;;;;;;1;;;;;;;;;;
2020/05/20;2;0;0;1;1;;;;;;;0;;;;;;;;;;
2020/05/21;2;0;0;1;1;;;;;;;0;;;;;;;;;;
2020/05/22;0;0;0;0;0;;;;;;;0;;;;;;;;;;
2020/05/23;1;1;0;0;0;;;;;;;0;;;;;;;;;;
2020/05/24;0;0;0;0;0;;;;;;;0;;;;;;;;;;
2020/05/25;1;0;0;1;0;;;;;;;0;;;;;;;;;;
2020/05/26;2;0;1;1;0;;;;;;;;;;;;;;;;;
2020/05/27;4;0;2;1;1;;;;;;;;;;;;;;;;;
2020/05/28;2;1;0;0;0;1;;;;;;;;;;;;;;;;
2020/05/29;4;1;2;0;0;1;;;;;;;;;;;;;;;;
2020/05/30;1;0;0;0;1;0;;;;;;;;;;;;;;;;
2020/05/31;1;0;1;0;0;0;;;;;;;;;;;;;;;;
2020/06/01;4;0;0;2;1;1;;;;;;;;;;;;;;;;
2020/06/02;5;1;0;2;1;0;;;;;1;;;;;;;;;;;
2020/06/03;2;0;0;0;1;1;;;;;;;;;;;;;;;;
