Evolución nº de altas de UCI;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/03/01;0;0;0;;0;;;;;;;;;;;;;;;;
2020/03/02;3;0;1;0;1;;;;;;1;;;;;;;;;;
2020/03/03;5;1;1;1;1;1;;;;;;;;;;;;;;;
2020/03/04;4;0;1;2;1;;;;;;;;;;;;;;;;
2020/03/05;5;1;1;;3;;;;;;;;;;;;;;;;
2020/03/06;4;2;0;;2;;;;;;;;;;;;;;;;
2020/03/07;3;3;0;;0;;;;;;;;;;;;;;;;
2020/03/08;1;1;0;;0;;;;;;;;;;;;;;;;
2020/03/09;6;3;0;;2;;;;;;1;;;;;;;;;;
2020/03/10;2;1;0;;1;0;;;;;;;;;;;;;;;
2020/03/11;3;0;2;0;0;1;;;;;;;;;;;;;;;
2020/03/12;3;1;1;0;1;0;;;;;;;;;;;;;;;
2020/03/13;7;0;4;0;3;0;;;;;;;;;;;;;;;
2020/03/14;3;2;0;1;0;0;;;;;;;;;;;;;;;
2020/03/15;3;3;0;0;0;0;;;;;;;;;;;;;;;
2020/03/16;3;1;1;1;0;0;;;;;0;;;;;;;;;;
2020/03/17;4;1;1;1;0;0;;;;;1;;;;;;;;;;
2020/03/18;3;3;0;0;0;0;;;;;;;;;;;;;;;
2020/03/19;4;1;1;0;2;0;;;;;;;;;;;;;;;
2020/03/20;4;2;1;0;0;0;;;;;;1;;;;;;;;;
2020/03/21;7;2;1;1;2;1;;;;;;0;;;;;;;;;
2020/03/22;5;1;1;1;0;0;;;;;0;2;;;;;;;;;
2020/03/23;5;2;0;0;1;1;;;;;0;1;;;;;;;;;
2020/03/24;6;2;0;0;0;1;1;;;;1;1;;;;;;;;;
2020/03/25;15;3;3;0;1;0;;;;;2;6;;;;;;;;;
2020/03/26;15;3;3;1;0;2;;;;;4;2;;;;;;;;;
2020/03/27;9;2;0;0;0;3;;;;;1;3;;;;;;;;;
2020/03/28;12;1;4;1;3;2;;;;;0;1;;;;;;;;;
2020/03/29;12;2;2;1;2;2;;;;;1;2;;;;;;;;;
2020/03/30;8;5;2;0;1;0;;;;;0;0;;;;;;;;;
2020/03/31;10;5;2;0;2;1;;;;;0;0;;;;;;;;;
2020/04/01;17;2;2;2;3;4;;;;;2;2;;;;;;;;;
2020/04/02;11;0;2;1;3;3;;;;;1;1;;;;;;;;;
2020/04/03;21;2;3;1;6;4;;;0;;1;4;;;;;;;;;
2020/04/04;14;4;4;0;3;1;;;0;;1;1;;;;;;;;;
2020/04/05;3;3;0;0;0;0;;;0;;;0;;;;;;;;;
2020/04/06;18;1;10;2;2;1;;;1;;;1;;;;;;;;;
2020/04/07;12;3;4;0;3;2;;;;;;0;;;;;;;;;
2020/04/08;13;1;4;3;4;1;;;;;;0;;;;;;;;;
2020/04/09;15;2;4;4;3;0;;;;;1;1;;;;;;;;;
2020/04/10;12;3;3;1;5;0;;;;;;0;;;;;;;;;
2020/04/11;7;0;1;2;3;1;;;;;;0;;;;;;;;;
2020/04/12;8;3;2;2;0;0;;;;;;1;;;;;;;;;
2020/04/13;10;1;3;2;3;0;;;0;;;1;;;;;;;;;
2020/04/14;11;3;3;3;0;2;;;0;;;0;;;;;;;;;
2020/04/15;13;2;4;1;3;1;;;0;;1;1;;;;;;;;;
2020/04/16;17;3;3;4;2;3;;;1;;;1;;;;;;;;;
2020/04/17;12;2;1;4;1;3;;;0;;;1;;;;;;;;;
2020/04/18;6;1;2;1;1;1;;;0;;;0;;;;;;;;;
2020/04/19;5;2;1;0;0;1;;;1;;;0;;;;;;;;;
2020/04/20;19;4;6;1;1;6;;;;;;1;;;;;;;;;
2020/04/21;6;1;1;1;3;0;;;;;;0;;;;;;;;;
2020/04/22;9;1;2;4;1;0;;;;;;1;;;;;;;;;
2020/04/23;10;2;0;2;3;1;;;0;;1;1;;;;;;;;;
2020/04/24;6;1;2;2;0;0;;;1;;;0;;;;;;;;;
2020/04/25;5;1;2;2;0;0;;;;;;0;;;;;;;;;
2020/04/26;1;0;0;1;0;0;;;;;;0;;;;;;;;;
2020/04/27;12;4;0;4;2;1;;;;;;1;;;;;;;;;
2020/04/28;8;2;2;2;1;1;;;;;;0;;;;;;;;;
2020/04/29;8;0;1;3;0;1;;;;;;3;;;;;;;;;
2020/04/30;12;1;6;1;2;0;;;;;;2;;;;;;;;;
2020/05/01;4;0;1;1;0;2;;;;;;;;;;;;;;;
2020/05/02;4;2;0;0;0;2;;;;;;;;;;;;;;;
2020/05/03;3;0;1;1;1;0;;;;;;;;;;;;;;;
2020/05/04;10;2;3;3;2;0;;;;;;;;;;;;;;;
2020/05/05;5;0;3;2;0;0;;;;;;;;;;;;;;;
2020/05/06;6;3;1;0;2;0;;;;;;;;;;;;;;;
2020/05/07;4;1;3;0;0;0;;;;;0;;;;;;;;;;
2020/05/08;3;0;0;1;0;2;;;;;0;;;;;;;;;;
2020/05/09;6;2;3;0;1;0;;;;;0;;;;;;;;;;
2020/05/10;0;0;0;0;0;0;;;;;0;;;;;;;;;;
2020/05/11;12;2;7;1;2;0;;;;;0;;;;;;;;;;
2020/05/12;7;0;2;1;2;1;;;;;1;;;;;;;;;;
2020/05/13;4;0;2;1;1;0;;;;;0;;;;;;;;;;
2020/05/14;8;3;2;1;2;0;;;;;0;;;;;;;;;;
2020/05/15;6;3;1;0;0;0;;;;;2;;;;;;;;;;
2020/05/16;1;0;1;0;0;0;;;;;;;;;;;;;;;
2020/05/17;0;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/18;3;0;1;0;0;2;;;;;;;;;;;;;;;
2020/05/19;6;2;1;2;1;;;;;;;0;;;;;;;;;
2020/05/20;7;0;4;2;1;;;;;;;0;;;;;;;;;
2020/05/21;4;2;0;1;1;;;;;;;0;;;;;;;;;
2020/05/22;3;0;1;0;2;;;;;;;0;;;;;;;;;
2020/05/23;0;0;0;0;0;;;;;;;0;;;;;;;;;
2020/05/24;0;0;0;0;0;;;;;;;0;;;;;;;;;
2020/05/25;8;1;2;1;3;;;;;;;1;;;;;;;;;
2020/05/26;3;0;1;2;0;;;;;;;;;;;;;;;;
2020/05/27;5;1;1;3;0;;;;;;;;;;;;;;;;
2020/05/28;4;0;4;0;0;0;;;;;;;;;;;;;;;
2020/05/29;1;0;1;0;0;0;;;;;;;;;;;;;;;
2020/05/30;1;0;0;0;0;1;;;;;;;;;;;;;;;
2020/05/31;0;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/01;4;1;1;0;1;1;;;;;;;;;;;;;;;
2020/06/02;8;0;3;3;1;0;;;;;1;;;;;;;;;;
2020/06/03;5;0;2;1;1;1;;;;;;;;;;;;;;;
2020/06/04;2;1;0;0;1;0;;;;;;;;;;;;;;;
2020/06/05;4;0;2;1;0;1;;;;;;0;;;;;;;;;
2020/06/06;1;0;0;0;0;0;;;;;;1;;;;;;;;;
2020/06/07;1;0;0;0;0;1;;;;;;;;;;;;;;;
2020/06/08;3;0;1;0;2;;;;;;;;;;;;;;;;
2020/06/09;3;0;2;1;0;;;;;;;;;;;;;;;;
2020/06/10;2;1;0;0;1;;;;;;;;;;;;;;;;
2020/06/11;1;1;0;0;0;;;;;;;;;;;;;;;;
2020/06/12;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/06/13;1;0;0;0;1;0;;;;;;;;;;;;;;;
2020/06/14;2;1;0;0;1;0;;;;;;;;;;;;;;;
2020/06/15;7;3;0;1;2;1;;;;;;;;;;;;;;;
2020/06/16;6;1;3;1;0;1;;;;;;;;;;;;;;;
2020/06/17;4;2;0;1;0;1;;;;;;;;;;;;;;;
2020/06/18;4;1;1;0;2;0;;;;;;;;;;;;;;;
2020/06/19;2;;0;1;0;1;;;;;;;;;;;;;;;
2020/06/20;2;0;0;1;1;;;;;;;;;;;;;;;;
2020/06/21;1;0;1;0;0;;;;;;;;;;;;;;;;
2020/06/22;2;0;1;1;0;;;;;;;;;;;;;;;;
2020/06/23;2;1;0;0;1;;;;;;;;;;;;;;;;
2020/06/24;1;0;0;0;1;;;;;;;;;;;;;;;;
2020/06/25;7;3;2;1;1;;;;;;;;;;;;;;;;
2020/06/26;1;0;0;1;0;;;;;;;;;;;;;;;;
2020/06/27;1;0;0;0;0;1;;;;;;;;;;;;;;;
2020/06/28;1;1;0;0;0;;;;;;;;;;;;;;;;
2020/06/29;2;0;2;0;0;;;;;;;;;;;;;;;;
2020/06/30;2;1;1;0;0;0;;;;;;;;;;;;;;;
2020/07/01;1;0;1;0;0;0;;;;;;;;;;;;;;;
2020/07/02;3;0;1;1;0;1;;;;;;;;;;;;;;;
2020/07/03;3;0;0;1;2;;;;;;;0;;;;;;;;;
2020/07/04;1;0;0;0;0;0;;;;;;1;;;;;;;;;
2020/07/05;1;0;1;0;0;0;;;;;;;;;;;;;;;
2020/07/06;4;0;2;2;0;0;;;;;;;;;;;;;;;
2020/07/07;1;0;0;;0;1;;;;;;;;;;;;;;;
2020/07/08;3;0;3;0;0;0;;;;;;;;;;;;;;;
2020/07/09;3;0;1;1;0;1;;;;;;;;;;;;;;;
2020/07/10;1;0;0;1;0;;;;;;;;;;;;;;;;
2020/07/11;1;0;0;0;1;;;;;;;;;;;;;;;;
2020/07/12;1;0;0;1;0;;;;;;;;;;;;;;;;
2020/07/13;3;1;2;0;0;;;;;;;;;;;;;;;;
2020/07/14;5;0;3;0;2;;;;;;;;;;;;;;;;
2020/07/15;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/16;2;2;0;0;0;;;;;;;;;;;;;;;;
2020/07/17;2;0;1;0;1;;;;;;;;;;;;;;;;
2020/07/18;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/19;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/20;2;1;1;0;0;;;;;;;;;;;;;;;;
2020/07/21;0;0;0;0;0;;;;;;;;;;;;;;;;
2020/07/22;1;0;0;1;0;;;;;;;0;;;;;;;;;
2020/07/23;3;0;0;1;1;;;;;;1;0;;;;;;;;;
2020/07/24;1;0;0;0;1;0;;;;;;0;;;;;;;;;
2020/07/25;2;0;0;1;0;0;;;;;;1;;;;;;;;;
2020/07/26;2;1;0;0;0;1;;;;;;;;;;;;;;;
2020/07/27;3;1;1;1;0;;;;;;;;;;;;;;;;
2020/07/28;1;0;1;0;0;;;;;;;;;;;;;;;;
2020/07/29;2;0;1;0;1;0;;;;;;;;;;;;;;;
2020/07/30;5;0;1;1;3;0;;;;;;;;;;;;;;;
2020/07/31;5;1;1;2;0;0;;;;;1;;;;;;;;;;
2020/08/01;0;0;0;0;0;0;;;;;;;;;;;;;;;
2020/08/02;0;0;0;0;0;0;;;;;;;;;;;;;;;
2020/08/03;2;1;0;1;0;0;;;;;;;;;;;;;;;
2020/08/04;4;3;0;1;0;0;;;;;;;;;;;;;;;
2020/08/05;2;0;0;1;1;0;;;;;;;;;;;;;;;
2020/08/06;1;1;0;;0;0;;;;;;;;;;;;;;;
2020/08/07;6;3;2;;1;0;;;;;;;;;;;;;;;
2020/08/08;1;0;0;;0;0;;;;;1;;;;;;;;;;
2020/08/09;0;0;0;;0;0;;;;;;;;;;;;;;;
2020/08/10;3;0;1;0;2;0;;;;;;;;;;;;;;;
2020/08/11;1;0;0;1;0;0;;;;;;;;;;;;;;;
2020/08/12;4;0;1;0;2;1;;;;;;;;;;;;;;;
2020/08/13;3;1;1;1;0;0;;;;;;;;;;;;;;;
2020/08/14;4;0;3;1;0;0;;;;;;;;;;;;;;;
2020/08/15;3;0;2;0;1;0;;;;;;;;;;;;;;;
2020/08/16;0;0;0;0;0;0;;;;;;;;;;;;;;;
2020/08/17;2;0;1;0;0;1;;;;;;;;;;;;;;;
2020/08/18;3;1;1;0;1;0;;;;;;;;;;;;;;;
2020/08/19;4;0;3;0;1;0;;;;;;;;;;;;;;;
2020/08/20;4;0;0;1;1;2;;;;;;;;;;;;;;;
2020/08/21;6;0;3;0;3;0;;;;;;0;;;;;;;;;
2020/08/22;6;1;3;0;1;0;;;;;;1;;;;;;;;;
2020/08/23;0;0;0;0;0;0;;;;;;;;;;;;;;;
2020/08/24;5;1;1;0;1;2;;;;;;;;;;;;;;;
2020/08/25;2;2;0;0;0;0;;;;;;0;;;;;;;;;
2020/08/26;8;4;1;3;0;0;;;;;;0;;;;;;;;;
2020/08/27;3;0;1;0;2;0;;;;;;0;;;;;;;;;
2020/08/28;2;1;1;0;0;0;;;;;;0;;;;;;;;;
2020/08/29;4;1;1;1;1;0;;;;;;0;;;;;;;;;
2020/08/30;1;1;0;0;0;0;;;;;;0;;;;;;;;;
2020/08/31;7;1;4;0;2;0;;;;;;0;;;;;;;;;
2020/09/01;5;3;0;1;1;0;;;;;;0;;;;;;;;;
2020/09/02;2;0;1;0;0;0;;;;;;1;;;;;;;;;
2020/09/03;7;2;1;2;2;0;;;;;;;;;;;;;;;
2020/09/04;8;1;3;1;3;0;;;;;;;;;;;;;;;
2020/09/05;3;1;1;1;0;0;;;;;;;;;;;;;;;
2020/09/06;4;0;0;1;2;1;;;;;;;;;;;;;;;
2020/09/07;4;0;0;2;1;0;;;;;;1;;;;;;;;;
2020/09/08;7;2;0;2;2;0;;;;;;1;;;;;;;;;
2020/09/09;7;1;3;1;1;0;;;;;1;;;;;;;;;;
2020/09/10;2;0;0;1;1;0;;;0;;;;;;;;;;;;
