Evolución nº de altas hospitalarias por fallecimiento;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Exitus;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
Suma Total;1623;366;168;151;162;147;19;22;36;29;21;11;56;2;361;68;0;2;0;2;
2020/03/01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/04;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/07;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/08;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/11;5;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2020/03/12;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/13;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/14;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/15;14;10;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;
2020/03/16;5;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/17;9;5;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/18;14;9;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/03/19;19;12;0;0;2;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;
2020/03/20;9;3;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;
2020/03/21;22;9;0;1;2;7;0;1;0;0;0;0;1;0;1;0;0;0;0;0;
2020/03/22;14;4;3;1;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
2020/03/23;15;5;1;1;0;5;0;0;0;1;0;0;1;0;0;1;0;0;0;0;
2020/03/24;21;10;0;1;3;3;0;0;0;0;0;0;3;0;1;0;0;0;0;0;
2020/03/25;24;3;2;1;4;5;0;1;0;2;0;1;2;0;3;0;0;0;0;0;
2020/03/26;20;3;3;1;1;2;0;1;0;0;0;1;1;0;6;1;0;0;0;0;
2020/03/27;22;6;2;1;0;4;0;1;0;0;0;1;1;0;5;1;0;0;0;0;
2020/03/28;32;7;4;5;2;4;0;1;0;1;0;0;1;0;5;2;0;0;0;0;
2020/03/29;25;7;1;3;3;4;0;0;0;1;0;0;2;0;3;1;0;0;0;0;
2020/03/30;34;12;6;3;3;2;0;0;0;0;0;0;0;0;2;6;0;0;0;0;
2020/03/31;29;12;2;1;4;2;0;0;0;0;0;0;0;0;5;3;0;0;0;0;
2020/04/01;25;7;2;2;2;4;1;0;0;0;0;0;1;0;3;2;0;1;0;0;
2020/04/02;19;4;5;1;1;4;0;0;0;0;0;0;0;0;3;1;0;0;0;0;
2020/04/03;26;7;3;6;4;2;0;0;0;1;0;0;0;0;2;1;0;0;0;0;
2020/04/04;24;5;3;0;2;3;0;0;0;0;1;0;1;0;7;2;0;0;0;0;
2020/04/05;25;7;0;0;3;4;0;0;0;0;1;0;0;0;7;3;0;0;0;0;
2020/04/06;28;5;4;1;2;5;0;0;0;0;0;0;2;0;5;3;0;0;0;1;
2020/04/07;17;2;4;1;2;1;0;0;1;0;0;1;0;0;5;0;0;0;0;0;
2020/04/08;23;4;1;0;6;1;0;0;1;0;0;0;0;0;8;2;0;0;0;0;
2020/04/09;22;4;1;4;5;3;0;0;0;2;0;0;0;0;1;2;0;0;0;0;
2020/04/10;19;2;4;0;2;2;0;1;1;0;1;0;2;0;3;1;0;0;0;0;
2020/04/11;21;2;0;3;4;1;0;0;1;1;0;0;0;0;6;2;0;1;0;0;
2020/04/12;9;0;0;0;1;3;0;0;0;0;0;0;0;0;3;2;0;0;0;0;
2020/04/13;19;1;1;1;1;0;0;1;0;0;0;0;1;0;10;3;0;0;0;0;
2020/04/14;10;2;1;0;0;0;0;0;1;1;0;0;0;0;4;1;0;0;0;0;
2020/04/15;13;4;3;1;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;
2020/04/16;12;3;2;1;1;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;
2020/04/17;22;5;0;2;1;2;0;0;1;0;0;0;5;0;5;1;0;0;0;0;
2020/04/18;10;2;1;0;2;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;
2020/04/19;12;2;0;0;2;0;0;1;0;0;1;0;1;0;5;0;0;0;0;0;
2020/04/20;6;0;2;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;
2020/04/21;16;0;1;0;3;3;0;0;2;0;0;0;0;0;6;1;0;0;0;0;
2020/04/22;10;2;0;0;1;1;0;0;1;;0;0;1;0;3;1;0;0;0;0;
2020/04/23;5;0;1;0;0;0;0;0;0;;0;0;0;0;2;2;0;0;0;0;
2020/04/24;7;3;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;
2020/04/25;3;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;
2020/04/26;7;0;0;1;2;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;
2020/04/27;7;0;1;0;1;1;1;0;0;0;0;0;0;0;3;0;0;0;0;0;
2020/04/28;9;0;2;0;1;1;0;0;0;0;0;0;1;0;4;0;0;0;0;0;
2020/04/29;6;0;0;0;1;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;
2020/04/30;8;0;2;1;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;
2020/05/01;6;0;2;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;
2020/05/02;8;1;2;1;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;
2020/05/03;6;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;
2020/05/04;6;0;0;0;0;1;0;0;0;0;0;0;1;0;3;1;0;0;0;0;
2020/05/05;9;0;1;2;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;
2020/05/06;5;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
2020/05/07;5;0;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
2020/05/08;7;2;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
2020/05/09;4;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/10;5;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;
2020/05/11;7;1;2;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/05/12;6;1;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;
2020/05/13;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/14;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/15;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/16;7;1;2;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;
2020/05/17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/18;4;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2020/05/19;5;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/05/20;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/05/21;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
2020/05/22;4;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
2020/05/23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/24;6;2;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;
2020/05/25;4;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
2020/05/26;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/05/27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/05/28;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
2020/05/29;3;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
2020/05/30;4;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
2020/05/31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/06/01;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2020/06/02;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
