;Ingresos nuevos en planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZAMUDIO H.;�LAVA PSIQUI�TRICO H.;
2020/05/01;22;6;3;1;6;1;0;0;1;;1;0;0;0;2;1;0;0;0;
2020/05/02;16;4;2;0;5;0;0;0;0;1;0;0;0;0;4;0;0;0;0;
2020/05/03;13;4;4;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
2020/05/04;28;11;2;4;4;2;0;0;0;0;0;0;1;0;2;2;0;0;0;
2020/05/05;36;8;4;2;6;5;1;0;1;0;1;0;0;1;3;3;0;1;0;
2020/05/06;20;2;8;0;5;0;0;0;0;;0;0;0;0;4;1;0;0;0;
2020/05/07;23;3;5;4;6;3;0;0;0;;0;0;1;0;0;1;0;0;0;
2020/05/08;24;10;4;2;1;1;1;0;0;;0;0;0;0;2;2;0;1;0;
2020/05/09;12;2;4;0;2;2;0;0;0;;0;0;0;0;1;1;0;0;0;
2020/05/10;8;2;2;1;2;0;0;0;0;;0;0;0;0;1;0;0;0;0;
2020/05/11;17;4;2;1;3;4;2;0;0;1;0;0;0;0;0;0;0;0;0;
2020/05/12;32;6;6;2;6;4;0;1;0;1;0;0;0;0;4;2;0;0;0;
2020/05/13;13;1;3;1;2;1;0;0;0;0;0;0;1;0;2;1;0;1;0;
2020/05/14;16;3;1;2;1;3;0;0;0;2;2;0;0;0;1;1;0;0;0;
2020/05/15;19;2;3;3;4;0;0;0;1;0;0;0;2;0;3;1;0;0;0;
2020/05/16;8;3;1;0;0;1;0;0;1;0;0;;0;0;1;1;0;0;0;
2020/05/17;8;3;1;0;0;0;0;0;0;2;0;;0;0;2;0;0;0;0;
2020/05/18;14;2;0;1;5;0;0;0;1;0;1;;1;0;2;1;0;0;0;
2020/05/19;14;1;5;1;3;0;;0;0;0;0;2;0;0;0;2;0;0;0;
2020/05/20;21;7;4;1;4;2;;0;1;1;1;0;0;0;0;0;0;0;0;
2020/05/21;9;2;4;1;0;0;;0;0;0;0;0;1;0;1;0;0;0;0;
2020/05/22;14;5;3;1;3;0;;0;0;1;0;0;0;0;1;0;0;0;0;
2020/05/23;9;2;0;1;2;2;;0;0;0;0;1;0;0;0;1;0;0;0;
2020/05/24;7;2;2;0;1;2;;0;0;0;0;0;0;0;0;0;0;0;0;
2020/05/25;20;6;3;5;1;2;;1;0;0;0;0;0;0;2;0;0;0;0;
2020/05/26;21;6;2;3;4;2;;0;0;1;1;0;0;0;1;0;0;1;0;
2020/05/27;13;4;2;1;2;1;;0;0;0;0;0;1;0;1;1;0;0;0;
2020/05/28;9;0;0;2;1;0;;0;0;0;0;2;1;0;3;0;0;0;0;
2020/05/29;11;4;1;0;2;1;;0;1;0;1;0;0;0;1;0;0;0;0;
2020/05/30;14;3;1;2;2;3;;0;1;0;0;1;0;0;1;0;0;0;0;
2020/05/31;7;1;0;0;1;0;;1;0;0;0;1;0;0;3;0;0;0;0;
2020/06/01;14;3;3;1;1;0;1;0;0;1;1;0;0;1;2;0;0;0;0;
2020/06/02;14;4;2;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;1;
2020/06/03;13;2;2;1;2;1;0;0;0;0;1;1;0;0;1;2;0;0;0;
2020/06/04;6;1;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;
2020/06/05;9;1;3;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
2020/06/06;8;1;0;1;3;0;0;;0;0;0;0;0;0;3;0;0;0;0;
2020/06/07;8;2;0;2;2;0;0;;0;0;0;0;0;0;2;0;0;0;0;
2020/06/08;12;2;2;0;3;3;0;;0;0;0;0;0;1;1;0;0;0;0;
2020/06/09;17;5;3;0;1;1;0;1;0;1;;0;0;0;3;0;0;2;0;
2020/06/10;10;2;2;0;2;1;0;0;0;0;1;0;0;0;2;0;0;0;0;
2020/06/11;18;2;4;0;3;3;;0;0;1;0;1;0;1;3;0;0;0;0;
2020/06/12;10;1;2;1;3;1;;0;0;0;;0;0;0;2;0;0;0;0;
2020/06/13;9;1;2;1;1;0;;1;0;1;;1;0;0;1;0;0;0;0;
2020/06/14;8;3;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;
2020/06/15;7;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;
2020/06/16;12;3;1;2;0;3;0;0;0;0;0;1;0;0;2;0;0;0;0;
2020/06/17;19;3;3;3;0;3;0;0;1;;0;0;1;0;2;3;0;0;0;
2020/06/18;8;1;3;1;1;1;0;0;;;0;;0;0;1;0;0;0;0;
2020/06/19;18;3;2;0;4;2;1;0;;;0;;0;0;4;2;0;0;0;
2020/06/20;11;3;4;0;3;0;0;;;1;;;0;0;0;0;0;0;0;
2020/06/21;4;0;0;1;1;0;0;;;0;;;0;0;2;0;0;0;0;
2020/06/22;11;3;3;0;0;2;1;;;0;;;0;0;0;1;0;1;0;
2020/06/23;16;5;1;0;3;2;0;;2;;;;0;1;1;1;0;0;0;
2020/06/24;12;6;1;0;1;0;0;;0;;1;;0;0;2;0;0;1;0;
2020/06/25;11;4;0;2;0;2;0;;0;;1;;0;0;2;0;0;0;0;
2020/06/26;7;0;2;0;0;1;0;;1;;0;1;0;0;1;1;0;0;0;
2020/06/27;4;0;0;0;1;0;0;;0;;;0;0;0;3;0;0;0;0;
2020/06/28;9;3;2;0;2;1;0;;0;;;0;0;0;1;0;0;0;0;
2020/06/29;11;3;4;1;0;0;0;;1;1;;;1;0;0;0;0;0;0;
2020/06/30;12;3;1;1;2;0;0;;0;1;;;0;1;2;0;0;1;0;
2020/07/01;5;0;1;0;2;1;0;;0;0;;;0;1;0;0;0;0;0;
2020/07/02;4;1;0;0;1;0;0;1;;0;;;0;0;1;0;0;0;0;
2020/07/03;11;2;2;0;3;1;0;0;;0;1;1;0;0;1;0;0;0;0;
2020/07/04;6;2;2;0;0;0;;0;;0;1;;0;0;1;0;0;0;0;
2020/07/05;8;0;2;1;0;1;;0;;1;1;;0;0;2;0;0;0;0;
2020/07/06;17;3;4;0;2;2;;0;1;0;2;;0;0;0;1;0;1;1;
2020/07/07;12;3;0;4;1;0;;0;1;0;0;1;1;1;0;0;0;0;0;
2020/07/08;8;2;1;1;2;1;;0;0;0;;0;0;1;0;0;0;0;0;
2020/07/09;9;2;2;0;2;0;;0;0;0;1;1;0;0;1;0;0;0;0;
2020/07/10;11;4;3;1;1;0;;0;0;0;0;0;0;0;2;0;0;0;0;
2020/07/11;10;3;5;0;1;0;;0;0;0;0;0;0;0;1;0;0;0;0;
2020/07/12;9;3;0;0;2;1;;0;0;0;0;0;0;0;1;2;0;0;0;
2020/07/13;14;3;4;2;1;1;;0;0;0;0;0;0;0;0;2;0;1;0;
2020/07/14;10;1;1;4;2;2;;0;0;0;0;0;0;0;0;0;0;0;0;
2020/07/15;10;2;3;1;1;1;;0;;0;;1;0;0;1;0;0;0;0;
2020/07/16;12;4;3;0;1;0;1;0;;0;;0;0;0;3;0;0;0;0;
2020/07/17;11;1;1;1;2;1;1;1;;0;1;0;0;0;1;0;0;1;0;
2020/07/18;12;2;5;1;1;2;0;0;;;1;0;0;0;0;0;0;0;0;
2020/07/19;5;0;0;0;2;0;0;0;;2;0;0;0;0;1;0;0;0;0;
2020/07/20;17;6;2;0;6;1;0;0;1;0;0;0;0;0;1;0;0;0;0;
2020/07/21;14;2;1;0;5;1;0;0;0;0;1;1;0;0;1;2;0;0;0;
