;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZAMUDIO H.;�LAVA PSIQUI�TRICO H.;
2020/05/01;1;1;0;0;0;0;;;;;;;;;;;;;;
2020/05/02;1;0;1;0;0;0;;;;;;;;;;;;;;
2020/05/03;2;0;1;0;1;0;;;;;;;;;;;;;;
2020/05/04;2;0;1;0;1;0;;;;;;;;;;;;;;
2020/05/05;3;0;2;0;1;0;;;;;;;;;;;;;;
2020/05/06;5;0;3;0;1;1;;;;;;;;;;;;;;
2020/05/07;0;0;0;0;0;0;;;;;;;;;;;;;;
2020/05/08;1;0;1;0;0;0;;;;;;;;;;;;;;
2020/05/09;1;0;1;0;0;0;;;;;;;;;;;;;;
2020/05/10;1;0;1;0;0;0;;;;;;;;;;;;;;
2020/05/11;1;0;0;0;1;0;;;;;;;;;;;;;;
2020/05/12;1;0;0;0;0;1;;;;;;;;;;;;;;
2020/05/13;0;0;0;0;0;0;;;;;;;;;;;;;;
2020/05/14;1;1;0;0;0;0;;;;;;;;;;;;;;
2020/05/15;3;0;2;0;0;0;;;;;1;;;;;;;;;
2020/05/16;0;0;0;0;0;0;;;;;;;;;;;;;;
2020/05/17;0;0;0;0;0;0;;;;;;;;;;;;;;
2020/05/18;0;0;0;0;0;0;;;;;;;;;;;;;;
2020/05/19;1;0;1;0;0;;;;;;;;;;;;;;;
2020/05/20;2;0;0;1;1;;;;;;;;;;;;;;;
2020/05/21;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/22;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/23;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/24;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/25;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/26;1;0;1;0;0;;;;;;;;;;;;;;;
2020/05/27;3;0;2;0;1;;;;;;;;;;;;;;;
2020/05/28;1;1;0;0;0;;;;;;;;;;;;;;;
2020/05/29;1;1;0;0;0;;;;;;;;;;;;;;;
2020/05/30;0;0;0;0;0;;;;;;;;;;;;;;;
2020/05/31;1;0;1;0;0;;;;;;;;;;;;;;;
2020/06/01;1;0;0;1;0;;;;;;;;;;;;;;;
2020/06/02;2;1;0;1;0;;;;;;;;;;;;;;;
2020/06/03;1;0;0;0;1;;;;;;;;;;;;;;;
2020/06/04;1;0;1;0;0;;;;;;;;;;;;;;;
2020/06/05;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/06;1;1;0;0;0;;;;;;;;;;;;;;;
2020/06/07;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/08;3;1;1;0;1;;;;;;;;;;;;;;;
2020/06/09;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/10;1;1;0;0;0;;;;;;;;;;;;;;;
2020/06/11;1;0;0;0;1;;;;;;;;;;;;;;;
2020/06/12;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/13;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/14;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/15;1;0;0;1;0;;;;;;;;;;;;;;;
2020/06/16;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/17;0;0;0;0;0;;;;;;;;;;;;;;;
2020/06/18;1;0;0;1;0;;;;;;;;;;;;;;;
