KORONABIRUSAREN EGOERA EPIDEMILOGIKOA EUSKADIN (COVID-19) / SITUACIÓN EPIDEMIOLÓGICA DEL CORONAVIRUS (COVID-19) EN EUSKADI;
Data / Fecha;PCR guztira / PCR totales;Test azkarrak guztira / Test rápidos totales;Pertsona bakarrak guztira / Personas únicas totales;PCR-dun pertsona bakarrak / Personas únicas con PCR;Milio bat biztanleko PCR-dun kopurua / Personas con PCR por millón de habitantes;PCR kasu positiboak / Casos positivos PCR;Serologia bidez baieztatutako kasuak / Casos positivos detectados por serología;Kasu positiboak guztira / Casos positivos totales;Araban PCR kasu positiboak / Casos positivos PCR Álava;Bizkaian PCR kasu positiboak / Casos positivos PCR Bizkaia;Gipuzkoan PCR kasu positiboak / Casos positivos PCR Gipuzkoa;Beste PCR kasu positiboak / Otros casos positivos PCR ;Sendatutakoak edo ospitaleko altak / Recuperados o altas Hospitalarias;Ez berreskuratuak / No recuperados;Hildakoak / Fallecidos;PCR positibodun ospitaleratze berriak plantan / Nuevos ingresos planta con PCR positivo;Plantan ospitaleratuta dauden PCR positibodunak / Ingresados en planta con PCR positivo;ZIUn ospitaleratuak / Hospitalizados en UCI;R0 Euskadin / R0 en Euskadi;Negatibizatuak / Negativizados;Ospitaleko altak / Altas hospitalarias;ZIUN ospitaleratze berriak azken 14 egunetan / Nuevos ingresos en UCI en los últimos 14 días;Positiboen tasa 100.000 biztanleko Araban/Tasa de positivos por 100.000 habitantes en Álava ;Positiboen tasa 100.000 biztanleko Bizkaian/Tasa de positivos por 100.000 habitantes en Bizkaia ;Positiboen tasa 100.000 biztanleko Gizpuzkoan/Tasa de positivos por 100.000 habitantes en Gipuzkoa;
2020/02/24;8;;;;;;;;;;;;0;0;0;;;;;;;;;;;
2020/02/25;15;;;;;;;;;;;;0;0;0;;;;;;;;;;;
2020/02/26;19;;;;;;;;;;;;0;0;0;;;;;;;;;;;
2020/02/27;30;;;;;;;;;;;;0;0;0;;;;;;;;;;;
2020/02/28;60;;;;;;;;;;;;0;0;0;;;;;;;;;;;
2020/02/29;79;;;;;;;;;;;;0;0;0;;;;;;;;;;;
2020/03/01;112;;;;;;;;;;;;0;1;0;;;;;;;;;;;
2020/03/02;169;;;;;;;;;;;;0;4;0;;;;;;;;;;;
2020/03/03;276;;;;;;;;;;;;0;8;0;;;;;;;;;;;
2020/03/04;361;;;;;;;;;;;;0;12;0;;;;;;;;;;;
2020/03/05;470;;;;;;;;;;;;0;30;1;;;;;;;;;;;
2020/03/06;634;;;;;;;;;;;;0;55;1;;;;;;;;;;;
2020/03/07;801;;;;;;;;;;;;0;89;1;;;;;;;;;;;
2020/03/08;940;;;;;;;;;;;;0;134;3;;;;5,17;;;;;;;
2020/03/09;1114;;;;;;;;;;;;0;179;5;;;;3,94;;;;;;;
2020/03/10;1363;;;;;;;;;;;;0;253;6;;;;3,44;;;;;;;
2020/03/11;1657;;;;;;;;;;;;0;325;7;;;;2,98;;;;;;;
2020/03/12;1974;;;;;;;;;;;;0;404;12;;;;2,54;;;;;;;
2020/03/13;2334;;;;;;;;;;;;0;503;16;;;;2,27;;;;;;;
2020/03/14;2694;;;;;;;;;;;;0;600;21;;;;2,02;;;;;;;
2020/03/15;3007;;;;;;;;;;;;0;696;25;;;;1,78;;;;;;;
2020/03/16;3364;;;;;;;;;;;;0;789;36;;;;1,63;;;;;;;
2020/03/17;3899;;;;;;;;;;;;0;979;41;;;;1,66;;;;;;;
2020/03/18;4578;;;;;;;;;;;;0;1196;52;;;;1,75;;;;;;;
2020/03/19;5323;;;;;;;;;;;;0;1445;71;;;;1,83;;;;;;;
2020/03/20;6083;;;;;;;;;;;;165;1598;85;;;;1,9;;;;;;;
2020/03/21;7050;;;;;;;;;;;;216;1854;97;;;;1,88;;;;;;;
2020/03/22;7946;;;;;;;;;;;;283;2074;120;;;;1,79;;;;;;;
2020/03/23;8674;;;;;;;;;;;;344;2357;133;;;;1,73;;;;;;;
2020/03/24;9952;;;;;;;;;;;;466;2791;155;;;;1,76;;;;;;;
2020/03/25;11664;;;;;;;;;;;;621;3332;180;;;;1,83;;;;;;;
2020/03/26;13332;;;;;;;;;;;;814;3743;203;;;;1,77;;;;;;;
2020/03/27;14872;;;;;;;;;;;;1023;3993;241;;;;1,58;;;;;;;
2020/03/28;16559;;;;;;;;;;;;1503;4064;265;;;;1,47;;;;;;;
2020/03/29;17617;;;;;;;;;;;;1646;4132;297;;;;1,28;;;;;;;
2020/03/30;18545;;;;;;;;;;;;1796;4277;325;;;;1,15;;;;;;;
2020/03/31;20287;;;;;;;;;;;;2165;4435;369;;;;1,08;;;;;;;
2020/04/01;21865;;;;;;;;;;;;2490;4547;412;;;;0,97;;;;;;;
2020/04/02;23609;;;;;;;;;;;;2809;4685;444;;;;0,91;;;;;;;
2020/04/03;25119;;;;;;;;;;;;3098;4779;477;;;;0,9;;;;;;;
2020/04/04;26757;;;;;;;;;;;;3405;4729;515;;;;0,83;;;;;;;
2020/04/05;27583;;;;;;;;;;;;3568;4729;548;;;;0,84;;;;;;;
2020/04/06;28480;26;;;;;;;;;;;3728;4783;586;;;;0,85;;;;;;;
2020/04/07;30403;188;;;;;;;;;;;4151;4747;635;;;;0,84;;;;;;;
2020/04/08;32377;515;;;;;;;;;;;4514;4694;689;;;;0,81;;;;;;;
2020/04/09;34187;900;;;;;;;;;;;4680;4842;729;;;;0,77;;;;;;;
2020/04/10;35784;1248;;;;;;;;;;;4741;5072;765;;;;0,76;;;;;;;
2020/04/11;36907;1845;;;;;;;;;;;4867;5094;804;;;;0,75;;;;;;;
2020/04/12;38338;2488;;;;;;;;;;;5026;5157;831;;;;0,79;;;;;;;
2020/04/13;39620;3237;;;;;;;;;;;5193;5190;859;;;;0,81;;;;;;;
2020/04/14;41366;4281;;;;;;;;;;;5428;5206;902;;;;0,75;;;;;;;
2020/04/15;44110;5641;;;;;;;;;;;5813;5059;956;;;;0,74;;;;;;;
2020/04/16;47188;7468;;;;;;;;;;;6144;4997;992;;;;0,75;;;;;;;
2020/04/17;50016;9651;;;;;;;;;;;6556;4834;1020;;;;0,71;;;;;;;
2020/04/18;53526;10786;;;;;;;;;;;6972;4537;1062;;;;0,76;;;;;;;
2020/04/19;55824;11628;;;;;;;;;;;7124;4458;1081;;;;0,75;;;;;;;
2020/04/20;57757;13251;;;;;;;;;;;7277;4460;1103;;;;0,73;;;;;;;
2020/04/21;61661;15767;;;;;;;;;;;7651;4347;1124;;;;0,73;;;;;;;
2020/04/22;66357;18998;;;;;;;;;;;8136;4176;1167;;;;0,71;;;;;;;
2020/04/23;70884;23462;;;;;;;;;;;8459;4202;1193;;;;0,71;;;;;;;
2020/04/24;75829;28159;;;;;;;;;;;8941;4054;1212;;;;0,8;;;;;;;
2020/04/25;80417;30799;63428;;;12455;;14315;;;;;9602;3494;1230;;;115;0,77;;;;;;;
2020/04/26;83386;31677;65743;;;12513;;14412;;;;;9840;3331;1241;;;113;0,81;;;;;;;
2020/04/27;85668;35499;67608;;;12564;;14804;;;;;9974;3575;1255;;;114;0,85;;;;;;;
2020/04/28;90749;40924;70985;;;12619;;15138;;;;;10474;3390;1274;;;104;0,8;;;;;;;
2020/04/29;95743;45395;74253;;;12701;;15519;;;;;10936;3287;1296;;;97;0,8;;;;;;;
2020/04/30;100926;51277;77927;;;12824;;15969;;;;;11380;3277;1312;;;95;0,81;;;;;;;
2020/05/01;105374;53184;80986;;;12887;;16119;;;;;11805;2993;1321;;;91;0,71;;;;;;;
2020/05/02;108174;53898;82982;;;12938;;16197;;;;;12024;2844;1329;;;90;0,72;;;;;;;
2020/05/03;109326;54467;83740;;;12952;;16246;;;;;12155;2750;1341;;;87;0,71;;;;;;;
2020/05/04;110956;57435;85084;;;12965;;16426;;;;;12251;2822;1353;;;85;0,72;;;;;;;
2020/05/05;115593;61416;88484;;;13008;;16679;;;;;12749;2566;1364;;;80;0,74;;;;;;;
2020/05/06;119596;65430;91521;;;13041;;16959;;;;;13070;2506;1383;;;78;0,69;;;;;;;
2020/05/07;122730;70314;95121;;;13101;;17286;;;;;13540;2356;1390;;;77;0,57;;;;;;;
2020/05/08;127694;74796;98884;;;13111;;17553;;;;;13985;2165;1403;;;76;0,65;;;;;;;
2020/05/09;132554;76094;102023;;;13156;;17677;;;;;14646;1613;1418;;;74;0,69;;;;;;;
2020/05/10;134047;76696;103889;;;13167;;17709;;;;;14718;1568;1423;;;70;0,77;;;;;;;
2020/05/11;136274;78969;108305;;;13176;;17840;;;;;14913;1498;1429;;;71;0,82;;;;;;;
2020/05/12;140665;83415;116535;;;13214;;18095;;;;;14986;1664;1442;;;60;0,82;;;;;;;
2020/05/13;147283;86440;126251;;;13257;;18316;;;;;;;1454;;;55;0,85;;;;;;;
2020/05/14;150712;88539;130120;;;13324;;18461;;;;;;;;;;;0,87;;;;;;;
2020/05/15;154142;90639;133989;;;13391;5216;18607;2962;7533;2307;589;15678;1474;1455;2;;50;0,90;;;;;;;
2020/05/16;158779;93965;138359;;;13407;5326;18733;2963;7546;2307;591;16028;1246;1459;4;;50;0,75;;;;;;;
2020/05/17;161834;95000;140399;;;13422;5358;18780;2970;7549;2312;591;16160;1154;1466;3;;48;0,70;;;;;;;
2020/05/18;166314;97737;144782;124591;56942;13409;5487;18896;2975;7531;2312;591;16387;1039;1470;4;;45;0,75;;;;;;;
2020/05/19;170517;99786;148526;127759;58367;13435;5582;19017;2988;7543;2313;591;16688;849;1480;3;;41;0,80;;;;;;;
2020/05/20;174935;102230;152760;130959;59853;13442;5704;19146;2990;7550;2313;591;16965;698;1483;8;;38;0,69;;;;;;;
2020/05/21;178107;103838;155680;133148;60853;13454;5800;19254;2994;7558;2313;589;17098;669;1487;3;;36;0,59;;;;;;;
2020/05/22;181838;105890;159331;135888;62106;13467;5907;19374;2998;7567;2313;589;17303;577;1494;4;;33;0,63;;;;;;;
2020/05/23;183752;106050;160567;137242;62724;13476;5910;19386;3000;7574;2313;589;17394;498;1494;3;;33;0,66;;;;;;;
2020/05/24;185119;106400;161700;138253;63186;13478;5914;19392;3000;7576;2313;589;17417;475;1500;1;;33;0,69;;;;;;;
2020/05/25;187450;107730;163993;139942;63958;13484;5985;19469;3000;7582;2313;589;17530;434;1505;4;;28;0,69;;;;;;;
2020/05/26;190993;109183;167354;142627;65186;13496;6082;19578;3002;7592;2313;589;17702;365;1511;9;;27;0,62;;;;;;;
2020/05/27;194387;110579;170473;145160;66343;13501;6170;19671;3002;7596;2314;589;17895;263;1513;4;;28;0,64;;;;;;;
2020/05/28;196890;111778;172904;147010;67189;13508;6219;19727;3003;7602;2314;589;16331;1865;1531;2;;25;0,65;;;;;;;
2020/05/29;200137;113338;176016;149449;68303;13513;6294;19807;3004;7607;2313;589;16454;1817;1536;1;;27;0,63;;;;;;;
2020/05/30;201970;113650;177460;150863;68950;13518;6302;19820;3006;7610;2313;589;16499;1780;1541;2;;27;0,64;;;;;;;
2020/05/31;202947;113875;178342;151624;69297;13518;6315;19833;3006;7610;2313;589;16510;1782;1541;5;;29;0,68;;;;;;;
2020/06/01;204749;114976;180442;153022;69936;13522;6372;19894;3010;7610;2313;589;16547;1804;1543;3;;27;0,72;;;;;;;
2020/06/02;209026;116078;184108;156204;71391;13528;6439;19967;3013;7613;2313;589;16656;1758;1553;4;;24;0,68;;;;;;;
