Adina / Edad;Kasu positiboak / Positivos;Emakumezkoak: Kasu positiboak / Mujeres: Positivos;Gizonezkoak: Kasu positiboak / Hombres: Positivos;Biztanleria 2019 / Población 2019;Emakumezkoak: Biztanleria 2019 / Emakumezkoak: Población 2019;Gizonezkoak: Biztanleria 2019 / Gizonezkoak: Población 2019;100.000 biztanleko tasa  / Tasa por 100.000 habitantes;Emakumezkoak: 100.000 biztanleko tasa  / Mujeres: Tasa por 100.000 habitantes;Gizonezkoak: 100.000 biztanleko tasa  / Hombres: Tasa por 100.000 habitantes;Kasuen guztien gaineko % / % sobre el total de los casos;Hildakoak / Fallecidos(*);Emakumezkoak: Hildakoak / Mujeres: Fallecidos;Gizonezkoak: Hildakoak / Hombres: Fallecidos;Hilgarritasuna / Letalidad;Emakumezkoak: Hilgarritasuna / Letalidad;Gizonezkoak: Hilgarritasuna / Letalidad;
0 - 9 ;5067;2535;2532;195423;95358;100065;2592,837076;2658,403071;2530,355269;0,053095954;0;0;0;0;0;0;
10-19;8972;4403;4568;206343;99880;106463;4348,100008;4408,289948;4290,692541;0,094015571;0;0;0;0;0;0;
20 - 29 ;11892;6218;5670;194050;95535;98515;6128,317444;6508,60941;5755,46871;0,124613595;2;1;1;0,00016818;0,00016082;0,00017637;
30 - 39 ;12105;6650;5449;266369;132731;133638;4544,44774;5010,133277;4077,433065;0,126845574;7;3;4;0,00057827;0,00045113;0,00073408;
40 - 49 ;15407;8279;7126;358785;177153;181632;4294,215199;4673,361445;3923,317477;0,16144649;22;7;15;0,001427922;0,00084551;0,002104968;
50 - 59 ;15272;8227;7041;335098;170278;164820;4557,472739;4831,510823;4271,933018;0,160031855;46;22;24;0,003012048;0,002674122;0,003408607;
60 - 69 ;9878;4899;4970;272250;142347;129903;3628,282828;3441,589918;3825,931657;0,103509342;163;42;121;0,016501316;0,008573178;0,024346076;
70 - 79 ;6626;3253;3373;202172;111150;91022;3277,407356;2926,675664;3705,697524;0,069432365;424;126;298;0,063990341;0,038733477;0,088348651;
80 - 89 ;5914;3656;2257;127540;79598;47942;4636,976635;4593,080228;4707,771891;0,061971477;1004;499;505;0,169766655;0,136487965;0,223748339;
Mas de 90 edo gehiago;2828;2184;644;29987;22390;7597;9430,753326;9754,354623;8477,030407;0,029633976;720;501;219;0,254596888;0,229395604;0,340062112;
No consta;1470;768;693;;;;;;;0,0154038;;;;;;;
GUZTIRA / TOTAL;95431;51072;44323;2188017;1126420;1061597;4361,529184;4534,010405;4175,124836;1;2402;1210;1192;0,025170018;0,023692043;0,026893486;
(*) Laborategiak proba azkarren lote bat errepasatu behar izan du aurrez emandako emaitza batzuk zuzendu eta egiaztatuz. Ondorioz, emaitza horiei zegozkien datu batzuk zuzendu dira. ;;;;;;;;;;;;;;;;;
(*) Se han corregido datos relativos a los test rápidos debido a que el laboratorio ha revisado un lote de pruebas rápidas corrigiendo y validando algunos resultados previos.;;;;;;;;;;;;;;;;;
(*) Hildakoen kopurua agian ez dator bat egunen batean ospitaleetatik eta egoitzetatik datozen datuekin, bi informazio-sistemen artean dekalaje bat dagoelako, eta dekalaje hori hurrengo egunetan zuzenduko da.;;;;;;;;;;;;;;;;;
(*) El número de fallecidos puede que algún día no coincida con los datos que provienen de los hospitales y residencias  porque existe un decalaje entre ambos sistemas de información que se corregirá en días posteriores.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
(*) 2020/11/15 (Ultima actualización / Azken eguneratzea);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
