UDALERRIA / MUNICIPIO;13/05;14/05;15/05;16/05;17/05;18/05;19/05;20/05;21/05;22/05;23/05;24/05;25/05;26/05;27/05;28/05;29/05;30/05;31/05;01/06;02/06;03/06;04/06;05/06;06/06;07/06;08/06;09/06;10/06;11/06;12/06;13/06;14/06;15/06;16/06;17/06;18/06;19/06;20/06;21/06;23/06;24/06;25/06;26/06;27/06;28/06;29/06;30/06;01/07;02/07;03/07;04/07;05/07;06/07;07/07;08/07;09/07;10/07;11/07;12/07;13/07;14/07;15/07;16/07;17/07;18/07;19/07;20/07;21/07;22/07;23/07;24/07;25/07;26/07;27/07;28/07;29/07;30/07;31/07;01/08;02/08;03/08;04/08;05/08;06/08;07/08;08/08;09/08;10/08;11/08;12/08;13/08;14/08;15/08;16/08;17/08;18/08;19/08;20/08;21/08;22/08;23/08;24/08;25/08;26/08;27/08;28/08;29/08;30/08;31/08;1/09;2/09;3/09;4/09;5/09;6/09;7/09;8/09;9/09;10/09;11/09;12/09;13/09;14/09;15/09;16/09;17/09;18/09;19/09;20/09;21/09;22/09;23/09;24/09;25/09;26/09;27/09;28/09;29/09;30/09;01/10;02/10;03/10;04/10;05/10;06/10;07/10;08/10;09/10;10/10;11/10;12/10;13/10;14/10;15/10;16/10;17/10;18/10;19/10;20/10;21/10;22/10;23/10;24/10;25/10;26/10;27/10;28/10;29/10;30/10;31/10;01/11;02/11;03/11;04/11;05/11;06/11;07/11;08/11;09/11;10/11;11/11;12/11;13/11;14/11;15/11;16/11;17/11;
Agurain/Salvatierra;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;2;1;0;1;1;2;0;0;0;0;0;1;1;2;1;0;0;5;1;2;3;0;0;1;1;0;3;1;1;0;0;1;2;1;4;0;2;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;3;1;3;3;2;0;1;2;3;0;1;1;2;3;1;3;2;2;4;4;1;6;5;0;0;3;2;2;2;4;1;2;4;1;4;0;0;1;0;1;3;
Alegr�a-Dulantzi;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;2;0;0;0;0;0;0;0;1;1;4;0;6;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;2;0;0;1;0;0;0;0;2;0;0;0;1;0;2;0;2;1;1;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;0;0;0;1;1;0;1;4;0;4;1;3;4;2;1;3;
Amurrio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;9;1;1;2;3;1;2;0;5;2;1;1;0;0;1;1;1;0;1;0;0;0;2;1;0;2;0;2;1;1;0;4;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;3;0;1;2;0;0;1;1;1;1;0;1;1;2;1;1;1;0;1;2;1;0;1;0;1;3;2;2;7;0;1;4;3;
A�ana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Aramaio;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;1;1;5;5;1;0;3;0;0;2;1;0;2;2;1;1;
Armi��n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;
Arraia-Maeztu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;
Arratzua-Ubarrundia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;3;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;
Artziniega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;1;2;0;1;0;1;0;0;1;0;0;5;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;1;0;6;1;0;2;4;0;3;6;1;1;0;1;1;0;2;0;1;0;1;
Asparrena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;1;1;7;3;1;4;3;1;1;1;1;1;0;0;2;1;3;1;0;1;1;
