2020/11/15 (Ultima actualización / Azken eguneratzea);
Udalerria / Municipio;Positiboak/Positivos;Biztanleak/Población;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Fatalidad;
ABADIÑO;261;7695;3391,8;4;1,5;;;;
ABANTO Y CIERVANA-ABANTO ZIERB;363;9476;3830,7;7;1,9;;;;
ADUNA;10;480;2083,3;2;20,0;;;;
SALVATIERRA/AGURAIN;217;5296;4097,4;15;6,9;;;;
AIA;64;1998;3203,2;1;1,6;;;;
AIZARNAZABAL;22;763;2883,4;0;0,0;;;;
AJANGIZ;16;453;3532,0;0;0,0;;;;
ALBIZTUR;17;296;5743,2;0;0,0;;;;
ALEGIA;107;1751;6110,8;1;0,9;;;;
ALEGRIA-DULANTZI;87;3075;2829,3;2;2,3;;;;
ALKIZA;16;346;4624,3;0;0,0;;;;
ALONSOTEGI;78;2852;2734,9;1;1,3;;;;
ALTZAGA;3;188;1595,7;0;0,0;;;;
ALTZO;20;367;5449,6;0;0,0;;;;
AMEZKETA;57;907;6284,5;1;1,8;;;;
AMOREBIETA-ETXANO;736;19119;3849,6;20;2,7;;;;
AMURRIO;232;10419;2226,7;9;3,9;;;;
ANDOAIN;538;14945;3599,9;5;0,9;;;;
ANOETA;83;2036;4076,6;2;2,4;;;;
ANTZUOLA;127;2201;5770,1;0;0,0;;;;
ARAMA;13;202;6435,6;0;0,0;;;;
ARAMAIO;42;1506;2788,8;0;0,0;;;;
ARANTZAZU;9;377;2387,3;0;0,0;;;;
AREATZA;38;1215;3127,6;0;0,0;;;;
ARETXABALETA;274;7098;3860,2;7;2,6;;;;
ARMIÑON;7;223;3139,0;0;0,0;;;;
ARRAIA-MAEZTU;6;732;819,7;0;0,0;;;;
ARRASATE/MONDRAGON;1225;22058;5553,5;47;3,8;;;;
ARRATZUA-UBARRUNDIA;39;1033;3775,4;0;0,0;;;;
ARRIETA;10;566;1766,8;0;0,0;;;;
ARRIGORRIAGA;396;11882;3332,8;12;3,0;;;;
ARTEA;18;722;2493,1;0;0,0;;;;
ARTZENTALES;20;692;2890,2;0;0,0;;;;
