2020/11/15(Ultima actualización / Azken eguneratzea);
Osasun-eremuaren kodea / Código zona de salud;Osasun-eremuak/Zonas de salud;Positiboak/Positivos;TISak guztira/Total de TIS;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Mortalidad;
2501;ABADIÑO-ELORRIO-BERRIZ;849;24328;3489,8;20;2,4;
2101;ABANTO-MUSKIZ;660;17149;3848,6;17;2,6;
1101;ABETXUKO;169;3841;4399,9;11;6,5;
2502;AIALA;535;19096;2801,6;13;2,4;
2401;ALANGO;735;19660;3738,6;20;2,7;
3401;ALEGIA;397;6665;5956,5;5;1,3;
2402;ALGORTA;1184;33128;3574,0;27;2,3;
3501;ALZA-ROTETA;728;19664;3702,2;34;4,7;
3502;AMARA BERRI;1322;35132;3763,0;16;1,2;
3503;AMARA CENTRO;817;16578;4928,2;19;2,3;
2503;AMOREBIETA;731;19813;3689,5;23;3,1;
3402;ANDOAIN;540;15442;3497,0;5;0,9;
1102;ARANBIZKARRA I;669;15096;4431,6;21;3,1;
1103;ARANBIZKARRA II;520;12426;4184,8;15;2,9;
3201;ARRASATE;1285;25129;5113,6;49;3,8;
2504;ARRATIA;373;13737;2715,3;3;0,8;
2505;ARRIGORRIAGA;539;15914;3387,0;11;2,0;
2403;ASTRABUDUA;445;10532;4225,2;12;2,7;
3301;AZKOITIA;642;11946;5374,2;6;0,9;
3302;AZPEITIA;969;16666;5814,2;3;0,3;
2102;BALMASEDA;440;11715;3755,9;23;5,2;
2507;BASAURI-ARIZ;1159;26715;4338,4;59;5,1;
2506;BASAURI-KAREAGA;555;15332;3619,9;25;4,5;
2301;BASURTO;905;21071;4295,0;23;2,5;
3303;BEASAIN;924;22634;4082,4;13;1,4;
2302;BEGOÑA;480;11870;4043,8;9;1,9;
3504;BERAUN-ERRENTERIA;495;15271;3241,4;3;0,6;
3202;BERGARA;933;18193;5128,3;22;2,4;
2508;BERMEO;519;19139;2711,7;26;5,0;
3505;BIDEBIETA;271;7241;3742,6;2;0,7;
2304;BOLUETA-SAGARMINAGA;417;9615;4337,0;5;1,2;
2305;BOMBERO ETXANIZ;2447;38328;6384,4;56;2,3;
2306;CASCO VIEJO (BILBAO);787;13102;6006,7;49;6,2;
1105;CASCO VIEJO (VITORIA-GASTEIZ);935;18232;5128,3;36;3,9;
3101;DEBA;518;10708;4837,5;7;1,4;
2307;DEUSTO;1151;25904;4443,3;20;1,7;
3602;DUMBOA;808;30190;2676,4;7;0,9;
2509;DURANGO;1493;35097;4253,9;27;1,8;
3506;EGIA;613;14940;4103,1;12;2,0;
3102;EIBAR;1248;19576;6375,2;22;1,8;
3103;ELGOIBAR;822;18203;4515,7;7;0,9;
2404;ERANDIO;777;14199;5472,2;16;2,1;
3104;ERMUA;1060;17250;6144,9;27;2,5;
2510;ETXEBARRI;397;10766;3687,5;8;2,0;
2511;GALDAKAO;1195;31686;3771,4;39;3,3;
1108;GAZALBIDE-TXAGORRITXU;758;15651;4843,1;42;5,5;
2322;GAZTELEKU;929;21093;4404,3;21;2,3;
2512;GERNIKA;594;19002;3126,0;5;0,8;
2513;GERNIKALDEA;306;7485;4088,2;9;2,9;
2405;GORLIZ-PLENTZIA;462;12094;3820,1;10;2,2;
3507;GROS;1296;29802;4348,7;40;3,1;
3508;HERNANI-URNIETA-ASTIGARRAGA;1619;34494;4693,6;17;1,1;
3601;HONDARRIBIA;475;17896;2654,2;3;0,6;
3403;IBARRA;400;7842;5100,7;8;2,0;
2308;INDAUTXU;910;19894;4574,2;34;3,7;
3509;INTXAURRONDO;428;11521;3715,0;9;2,1;
3603;IRÚN-CENTRO;1184;38453;3079,1;13;1,1;
3510;IZTIETA-ERRENTERIA;875;26100;3352,5;18;2,1;
2309;JAVIER SÁENZ DE BURUAGA;543;15899;3415,3;8;1,5;
2317;KARMELO;478;12046;3968,1;14;2,9;
2201;KUETO;450;10273;4380,4;22;4,9;
1106;LA HABANA;574;12036;4769,0;20;3,5;
2319;LA MERCED/MIRIBILLA;1122;19466;5763,9;35;3,1;
2202;LA PAZ;835;22077;3782,2;10;1,2;
2311;LA PEÑA;389;10234;3801,1;6;1,5;
1109;LAKUA-ARRIAGA;634;15491;4092,7;11;1,7;
1113;LAKUABIZKARRA;1360;29226;4653,4;17;1,2;
2406;LAS ARENAS;1252;34417;3637,7;30;2,4;
3511;LASARTE-USURBIL;950;26512;3583,3;14;1,5;
3304;LAZKAO;281;8517;3299,3;10;3,6;
3305;LEGAZPI;282;8739;3226,9;6;2,1;
2407;LEIOA;922;25063;3678,7;20;2,2;
2514;LEKEITIO;363;10065;3606,6;6;1,7;
3512;LEZO-SAN JUAN;377;8541;4414,0;10;2,7;
1116;LLANADA ALAVESA;432;12020;3594,0;21;4,9;
2515;LLODIO;566;23072;2453,2;14;2,5;
3513;LOIOLA;256;7127;3592,0;5;2,0;
2203;LUTXANA;308;7325;4204,8;9;2,9;
2516;MARKINA-XEMEIN;394;6488;6072,7;4;1,0;
2204;MARKONZAGA;732;17831;4105,2;26;3,6;
2312;MINA DEL MORRO;590;11067;5331,2;23;3,9;
2310;MIRIBILLA/LA MERCED;1122;19466;5763,9;35;3,1;
1117;MONTAÑA ALAVESA;52;2186;2378,8;2;3,8;
2408;MUNGIA;1031;26968;3823,0;26;2,5;
1118;NORTE-LEGUTIO;160;4253;3762,1;7;4,4;
1119;NORTE-ZUIA;253;5480;4616,8;18;7,1;
3514;OIARTZUN;266;10535;2524,9;1;0,4;
1107;OLAGUIBEL;1771;34045;5201,9;68;3,8;
1110;OLARIZU;654;16235;4028,3;19;2,9;
3515;ONDARRETA;1335;36720;3635,6;20;1,5;
2517;ONDARROA;376;9640;3900,4;6;1,6;
3203;OÑATI;459;11830;3880,0;9;2,0;
3306;ORDIZIA;779;14142;5508,4;35;4,5;
2103;ORTUELLA;316;8489;3722,5;3;0,9;
2313;OTXARKOAGA;412;11293;3648,3;13;3,2;
3516;PARTE VIEJA;566;13799;4101,7;10;1,8;
3517;PASAIA ANTXO;305;6787;4493,9;4;1,3;
3518;PASAIA SAN PEDRO;385;10612;3628,0;5;1,3;
2105;PORTUGALETE-BUENAVISTA;543;13261;4094,7;7;1,3;
2104;PORTUGALETE-CASTAÑOS;584;16767;3483,0;13;2,2;
2106;PORTUGALETE-REPELEGA;696;20149;3454,3;9;1,3;
2314;REKALDE;1590;28171;5644,1;39;2,5;
1201;RIOJA ALAVESA;437;10885;4014,7;11;2,5;
2205;RONTEGI;525;11371;4617,0;11;2,1;
1111;SALBURUA;717;16341;4387,7;15;2,1;
2315;SAN ADRIÁN;567;10045;5644,6;21;3,7;
2316;SAN IGNACIO;1131;24872;4547,3;36;3,2;
1104;SAN MARTÍN;1609;32825;4901,8;78;4,8;
2206;SAN VICENTE;944;20040;4710,6;57;6,0;
1112;SANSOMENDI;443;9295;4766,0;12;2,7;
2107;SANTURTZI-CENTRO-MAMARIGA;636;18352;3465,6;14;2,2;
2108;SANTURTZI-KABIEZES;1146;26023;4403,8;33;2,9;
2318;SANTUTXU-SOLOKOETXE;758;16372;4629,9;11;1,5;
2109;SODUPE-GÜEÑES;307;8207;3740,7;7;2,3;
2409;SOPELANA;916;25427;3602,5;13;1,4;
3404;TOLOSA;932;20760;4489,4;30;3,2;
3105;TORREKUA;576;9756;5904,1;18;3,1;
2110;TRAPAGARAN;474;12011;3946,4;12;2,5;
2410;TXORIERRI;733;18956;3866,8;25;3,4;
2320;TXURDINAGA;767;14726;5208,5;36;4,7;
2207;URBAN;449;9598;4678,1;8;1,8;
3204;VALLE DE LENIZ;377;11415;3302,7;9;2,4;
1120;VALLES ALAVESES I;118;4622;2553,0;0;0,0;
1121;VALLES ALAVESES II;119;2384;4991,6;2;1,7;
3405;VILLABONA;701;15946;4396,1;11;1,6;
1114;ZABALGANA;951;23794;3996,8;6;0,6;
2208;ZABALLA;578;13124;4404,1;11;1,9;
2111;ZALLA;435;11710;3714,8;17;3,9;
1115;ZARAMAGA;716;14371;4982,3;26;3,6;
3519;ZARAUTZ-ORIO-AIA;1216;32323;3762,0;31;2,5;
2321;ZORROZA- ALONSOTEGI;634;14648;4328,2;26;4,1;
2209;ZUAZO;657;18056;3638,7;12;1,8;
3520;ZUMAIA-ZESTOA-GETARIA;744;17564;4235,9;8;1,1;
3307;ZUMARRAGA;666;18588;3583,0;12;1,8;
2303;ZURBARAN;440;10598;4151,7;18;4,1;
