PCR KASU POSITIBO BERRIEN BANAKETA SEXU ETA ADIN-TARTEKA / DISTRIBUCIÓN DE LOS NUEVOS CASOS PCR POSITIVOS SEGÚN SEXO Y GRUPOS DE EDAD;
Data / Fecha;Gizonak / Hombres;Emakumeak / Mujeres;0-9;10-19;20-29;30-39;40-49;50-59;60-69;70-79;80-89;Más de 90 edo gehiago;Ezezaguna / Desconocido;0-2;3-5;6-12;13-16;17-18;
2020/03/01;1;;;;;;;;;1;;;;;;;;;
2020/03/02;1;2;;;1;;;1;;;1;;;;;;;;
2020/03/03;4;;;;;;1;;3;;;;;;;;;;
2020/03/04;1;3;;;;1;;;;1;2;;;;;;;;
2020/03/05;5;14;;;;4;5;6;1;2;;1;;;;;;;
2020/03/06;12;14;;1;3;3;4;10;3;1;1;;;;;;;;
2020/03/07;19;15;;;4;;6;5;5;5;4;5;;;;;;;
2020/03/08;17;29;1;2;4;3;2;6;5;6;12;5;;1;;;2;;
2020/03/09;23;24;;1;;7;8;6;10;6;9;;;;;;1;;
2020/03/10;32;41;5;8;6;9;8;4;12;10;9;2;;3;;4;3;2;
2020/03/11;41;32;;2;7;4;12;11;11;12;9;5;;;;;1;1;
2020/03/12;37;47;1;3;6;9;16;9;15;15;9;1;;1;;1;1;;
2020/03/13;56;47;;2;11;14;12;14;10;20;15;5;;;;;1;1;
2020/03/14;62;40;1;3;7;10;23;20;12;11;11;4;;;;1;;1;
2020/03/15;56;44;4;2;3;9;21;12;15;19;10;5;;1;1;2;;;
2020/03/16;54;47;;1;4;11;14;14;21;9;20;7;;;;;;1;
2020/03/17;96;94;1;;5;15;21;43;31;44;24;6;;;1;;;;
2020/03/18;98;124;;;12;24;26;48;43;33;29;7;;;;;;;
2020/03/19;130;131;;2;14;18;37;52;51;40;30;17;;;;1;;;
2020/03/20;162;155;;4;11;43;33;61;61;51;41;12;;;;;;4;
2020/03/21;159;151;1;;7;32;46;53;62;60;36;13;;;1;;;;
2020/03/22;134;171;1;1;21;30;49;69;49;36;36;12;1;1;;1;;;
2020/03/23;148;184;1;;16;30;61;68;58;48;37;12;1;1;;;;;
2020/03/24;266;298;1;1;19;43;73;102;113;111;73;28;;;;1;;;
2020/03/25;306;404;2;1;28;68;120;156;123;98;82;31;1;;;2;1;;
2020/03/26;285;324;;;26;58;106;134;99;93;62;30;1;;;;;;
2020/03/27;238;252;;1;21;46;75;92;82;85;62;24;2;;;;;1;
