,Fecha,Casos,Incidencia Euskadi,Incidencia Araba,Incidencia Bizkaia,Incidencia Gipuzkoa
0,2020-07-01,6,5.76,10.06,4.46,5.58
1,2020-07-02,10,5.58,10.37,3.85,5.86
2,2020-07-03,15,5.53,10.67,3.5,6.13
3,2020-07-04,13,5.67,10.98,3.59,6.27
4,2020-07-05,9,5.76,10.67,3.59,6.69
5,2020-07-06,19,6.08,10.37,3.68,7.67
6,2020-07-07,30,7.13,11.28,3.85,10.18
7,2020-07-08,30,7.77,12.81,4.2,11.15
8,2020-07-09,31,8.78,13.42,4.55,13.39
9,2020-07-10,31,9.92,13.11,5.6,15.34
10,2020-07-11,28,11.06,13.72,6.13,17.71
11,2020-07-12,27,12.11,14.33,7.53,18.4
12,2020-07-13,27,13.12,14.64,8.4,19.94
13,2020-07-14,60,15.17,15.25,8.84,24.96
14,2020-07-15,58,17.55,16.47,10.24,29.14
15,2020-07-16,68,20.2,16.77,12.16,33.6
16,2020-07-17,115,24.77,18.9,15.93,40.57
17,2020-07-18,197,33.18,21.04,23.36,53.12
18,2020-07-19,114,37.98,22.26,27.04,61.35
19,2020-07-20,90,41.41,23.78,32.2,62.6
20,2020-07-21,111,45.11,23.78,37.71,65.11
21,2020-07-22,138,50.05,22.87,45.41,68.18
22,2020-07-23,136,54.84,25.31,52.24,70.55
23,2020-07-24,123,59.05,29.88,56.96,73.76
24,2020-07-25,166,65.36,32.93,65.63,77.66
25,2020-07-26,86,68.05,34.15,68.95,79.89
26,2020-07-27,130,72.76,36.28,75.43,82.82
27,2020-07-28,123,75.64,38.11,79.98,83.52
28,2020-07-29,204,82.31,43.6,90.91,83.8
29,2020-07-30,244,90.36,51.22,102.81,85.75
30,2020-07-31,200,94.24,56.71,109.81,83.66
31,2020-08-01,199,94.33,72.57,111.3,74.18
32,2020-08-02,156,96.25,76.84,116.55,69.44
33,2020-08-03,165,99.68,79.58,121.8,70.13
34,2020-08-04,241,105.62,95.13,129.5,68.6
35,2020-08-05,338,114.76,106.72,141.75,71.25
36,2020-08-06,428,128.11,114.34,161.44,76.69
37,2020-08-07,390,140.31,127.76,178.68,78.78
38,2020-08-08,342,148.35,137.21,190.84,78.92
39,2020-08-09,353,160.56,154.59,203.96,86.03
40,2020-08-10,265,166.73,162.52,212.28,87.28
41,2020-08-11,363,177.7,180.51,226.89,88.26
42,2020-08-12,569,194.38,196.36,249.38,93.7
43,2020-08-13,510,206.53,221.67,260.75,99.69
44,2020-08-14,573,223.581,250.94,281.576,102.203
45,2020-08-15,610,242.366,271.064,303.626,113.358
46,2020-08-16,364,251.872,284.785,312.289,120.469
47,2020-08-17,321,259.0,302.47,317.71,124.37
48,2020-08-18,510,271.3,311.01,331.8,132.04
49,2020-08-19,576,282.17,333.27,343.96,134.27
50,2020-08-20,724,295.7,359.49,354.46,143.2
51,2020-08-21,592,304.93,377.48,361.55,150.31
52,2020-08-22,659,319.42,403.39,372.84,162.58
53,2020-08-23,453,323.99,396.99,376.51,171.64
54,2020-08-24,477,333.68,403.09,384.48,183.91
55,2020-08-25,662,347.35,410.71,393.14,206.5
56,2020-08-26,764,356.26,427.79,389.9,230.34
57,2020-08-27,764,367.87,422.3,410.55,248.89
58,2020-08-28,886,382.17,418.33,424.73,269.1
59,2020-08-29,673,385.05,417.12,424.03,277.89
60,2020-08-30,409,387.11,409.8,425.86,285.14
61,2020-08-31,445,392.78,414.98,426.65,298.1
62,2020-09-01,546,394.42,416.51,420.53,309.54
63,2020-09-02,605,395.75,396.99,419.48,322.37
64,2020-09-03,705,394.88,396.38,413.0,333.38
65,2020-09-04,745,401.87,393.03,418.08,349.0
66,2020-09-05,608,399.54,383.88,413.26,355.83
67,2020-09-06,513,402.28,381.44,417.9,358.9
68,2020-09-07,397,398.63,372.9,413.09,360.85
69,2020-09-08,661,398.58,372.9,411.69,364.34
70,2020-09-09,635,392.68,362.54,409.68,354.71
71,2020-09-10,574,384.0,355.22,390.43,349.14
72,2020-09-11,669,374.08,357.66,375.29,346.35
73,2020-09-12,514,366.82,344.85,366.89,345.51
74,2020-09-13,290,361.38,341.8,358.93,343.42
75,2020-09-14,287,354.16,322.59,356.74,335.05
76,2020-09-15,459,350.18,308.87,355.95,335.47
77,2020-09-16,579,348.99,332.66,346.5,338.68
78,2020-09-17,519,340.49,321.37,335.56,334.91
79,2020-09-18,598,333.77,313.75,323.14,335.47
80,2020-09-19,446,326.37,301.55,314.65,330.03
81,2020-09-20,387,320.61,313.14,302.75,327.25
82,2020-09-21,314,316.82,320.76,298.46,319.02
83,2020-09-22,405,305.12,306.74,286.65,309.12
84,2020-09-23,518,299.77,301.25,276.76,310.24
85,2020-09-24,383,291.04,301.25,263.73,304.1
86,2020-09-25,398,278.65,292.71,248.59,294.48
87,2020-09-26,479,277.05,295.76,249.9,286.53
88,2020-09-27,354,279.98,308.87,253.58,282.77
89,2020-09-28,285,279.89,312.84,250.86,284.58
90,2020-09-29,432,278.65,324.12,247.45,280.68
91,2020-09-30,385,269.79,303.38,237.48,278.86
92,2020-10-01,418,265.17,298.81,233.45,272.17
93,2020-10-02,441,258.0,298.2,228.99,261.02
94,2020-10-03,319,252.19,292.71,223.74,255.86
95,2020-10-04,272,246.94,279.91,219.45,253.21
96,2020-10-05,336,247.94,279.91,219.54,256.69
97,2020-10-06,428,248.99,282.04,220.15,258.23
98,2020-10-07,454,246.07,275.64,217.18,259.62
99,2020-10-08,458,249.5,272.89,220.68,266.59
100,2020-10-09,584,258.0,268.93,227.41,283.46
101,2020-10-10,584,262.8,258.26,226.01,304.38
102,2020-10-11,363,263.21,257.04,222.69,312.75
103,2020-10-12,529,274.36,258.56,232.93,330.17
104,2020-10-13,410,273.35,245.15,231.26,336.87
105,2020-10-14,679,286.79,249.42,244.65,354.71
106,2020-10-15,828,305.53,263.44,257.16,386.5
